Supplier,MPN,Stock (Units),Price (per 1k),Notes,Link
Digi-Key,RK73H1JTTD1002F,"1,384,199",$0.006800,"Thick Film, General Purpose",https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/RK73H1JTTD1002F/9844954
Mouser,CRCW060310K0FKEA,"3,062,543",$0.007000,"Thick Film, Automotive Grade",https://www.mouser.com/ProductDetail/Vishay/CRCW060310K0FKEA?qs=pAO1Z172M84BVnhDjtnsoQ%3D%3D
LCSC Electronics,C25804,"9,412,600",$0.000800,Economical option,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Yageo-RC0603FR-0710KL_C25804.html
