Supplier,MPN,Stock (Units),Price (per 1k),Notes,Link
LCSC Electronics,GRM21BR72A103KA01L,Out of Stock,$0.0196 (3000 pcs),General Purpose,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Murata-Electronics-GRM21BR72A103KA01L_C97925.html
Mouser,GRM21BR71A105KA01L,88,$0.034000,General Purpose,https://www.mouser.com/ProductDetail/Murata-Electronics/GRM21BR71A105KA01L?qs=Rc6BINVvJ%2FjIxBp0DnLtzA%3D%3D
Digi-Key,GRM21BR61C106KE15K,"863,063",$0.062030,General Purpose,https://www.digikey.com/en/products/detail/murata-electronics/GRM21BR61C106KE15K/2546903
Digi-Key,GRM21BR61E106KA73L,"809,254",$0.062030,General Purpose,https://www.digikey.com/en/products/detail/murata-electronics/GRM21BR61E106KA73L/2334874
