Supplier,MPN,Tolerance,Power Rating,Type,Stock (Units),Price (per 1k),Notes,Link
Digi-Key,TNPW06031K00BEEA,±0.1%,0.21W,Thin Film,"50,954",$0.133170,"Anti-sulfur, AEC-Q200",https://www.digikey.com/en/products/detail/vishay-dale/TNPW06031K00BEEA/1606767
Digi-Key,RC0603JR-071KL,±5%,0.1W,Thick Film,"1,790",$0.005100,Moisture resistant,https://www.digikey.com/en/products/detail/yageo/RC0603JR-071KL/726677
Mouser,CRCW06031K00FKED,±1%,0.1W,Thick Film,"53,249",$0.026000,High reliability,https://www.mouser.com/ProductDetail/Vishay/CRCW06031K00FKED?qs=%252B6g0mu59x7IDenfbVFhzAg%3D%3D
Mouser,RK73G1JRTTD1001F,±1%,0.1W,Thick Film,"9,009",$0.057000,Automotive grade,https://www.mouser.com/ProductDetail/KOA-Speer/RK73G1JRTTD1001F?qs=T%252BzbugeAwjgX8%252Bny6EVUJg%3D%3D
Mouser,560112116014,±1%,0.1W,Thick Film,"29,892",$0.03 (2500 pcs),Anti-sulfur,https://www.mouser.com/ProductDetail/Wurth-Elektronik/560112116014
