Supplier,Stock (Units),Price (per 1k),Notes,Link
Digi-Key,Obsolete,n/a,Obsolete,https://www.digikey.com/en/products/detail/diodes-incorporated/1N4148-T/608
Mouser,"9,276",$0.016,Availability limited,https://www.mouser.com/ProductDetail/Rectron/1N4148-T?qs=sWbhZyXmMVcwnXg%2FYt8YJQ%3D%3D
Micro-Semiconductor,"5,697",Request quote,Fast delivery,https://www.micro-semiconductor.com/products/Diodes-Incorporated/1N4148-T
Ariat Technology,"2,644",Request quote,New original stock,https://www.ariat-tech.com/parts/diodes-incorporated/1N4148-T
