Supplier,Stock (Units),Price (per 1k),Notes,Link
Digi-Key,"5,588",$1.587930,Same-day shipping,https://www.digikey.com/en/products/detail/ams-osram-usa-inc/AS1115-BSST/2333545
Mouser,"4,360",$1.540000,Same-day shipping,https://www.mouser.com/ProductDetail/ams-OSRAM/AS1115-BSST?qs=jMXWnm70%252BC%2FTIBNsbFwa8Q%3D%3D
Micro-Semiconductor,"42,584",$0.803 (2500 pcs),High-volume pricing,https://www.micro-semiconductor.com/products/ams/AS1115-BSST
Boser Technology,"70,552",Request quote,Fast delivery,https://www.boser-tech.com/components/AS1115-BSST_ams.html
LCSC Electronics,Out of Stock,$2.663300,Out of Stock,https://www.lcsc.com/product-detail/Pre-ordered-Chips_Advanced-Monolithic-Systems-AMS-AS1115-BSST_C2649434.html
Arrow Electronics,Not specified,$2.240000,Immediate shipping,https://www.arrow.com/en/products/as1115-bsst/ams-osram
Senico Electronics,"2,763",Request quote,Global sourcing,https://www.senico-electronics.com/components/partno/amsosramusainc/as1115bsst-11070156
Newark,20,$1.590000,2–4 days delivery,https://www.newark.com/ams-osram-group/as1115-bsst/display-driver-40-to-125deg-c/dp/87AK1304
